Probe Name,Annotation,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,Positive Flag,Class Active,Avg Count,Min Count,Max Count,20220412_209753990323_F12-82408-6_05.RCC,20220412_209753990323_F13-28768-1_02.RCC ,20220412_209753990323_F13-78109-1_09.RCC ,20220412_209753990323_F13-82836-4_04.RCC,20220412_209753990323_F14-08645-3_01.RCC,20220412_209753990323_F14-10362-3_03.RCC,20220412_209753990323_F15-41499-1_10.RCC,20220412_209753990323_F15-85066-4_06.RCC,20220412_209753990323_F16-0040-1_11.RCC,20220412_209753990323_F16-5220-1_08.RCC,20220412_209753990323_PanelStandard1-4745958_12.RCC,20220412_209753990323_f14-07689-1_07.RCC,20220421_209754330323_089-62574_11.RCC,20220421_209754330323_089-79521_10.RCC,20220421_209754330323_F16-2154-3_12.RCC,20220421_209754330323_F18-16288-6-8_04.RCC,20220421_209754330323_F18-32890-3-4_03.RCC,20220421_209754330323_F19-48098-1-2_02.RCC,20220421_209754330323_F19-48476-1-2_01.RCC ,20220421_209754330323_PanelStandard1-4762199_05.RCC 
ELANE,,NM_001003378.2,NM_001003378.2:270,Endogenous,mRNA,100,FALSE,2,195.5,7,953,56,21,76,31,7,392,229,51,243,234,881,17,101,25,211,174,154,43,11,953
ENTPD1,,XM_005637555.3,XM_005637555.3:1050,Endogenous,mRNA,100,FALSE,2,501.9,116,1256,243,359,851,316,144,587,423,272,606,570,1170,370,116,304,606,419,268,582,576,1256
EOMES,,XM_845645.3,XM_845645.3:2095,Endogenous,mRNA,100,FALSE,2,343.5,6,2106,247,32,91,52,6,461,252,52,288,345,1803,21,350,27,339,231,118,36,13,2106
EP300,,XM_022424377.1,XM_022424377.1:4026,Endogenous,mRNA,100,FALSE,2,1823.15,587,3338,860,1691,2342,743,723,3338,1759,1751,2303,2429,1320,2763,587,1149,1657,1935,1267,3019,3284,1543
EPCAM,,XM_005626238.1,XM_005626238.1:1411,Endogenous,mRNA,100,FALSE,2,385.6,23,1397,124,93,236,166,23,844,495,138,611,728,1206,59,208,99,587,368,115,96,119,1397
EPHA5,,XM_005628243.2,XM_005628243.2:1561,Endogenous,mRNA,100,FALSE,2,1328.3,86,2739,274,1619,878,1407,86,2739,649,1163,965,1722,1642,2479,200,870,2011,1677,901,2580,981,1723
EPSTI1,,XM_005633925.1,XM_005633925.1:613,Endogenous,mRNA,100,FALSE,2,736.2,181,1835,537,313,585,498,270,1227,970,554,929,1240,1789,528,181,226,1081,563,540,551,307,1835
ERBB2,,NM_001003217.1,NM_001003217.1:2182,Endogenous,mRNA,100,FALSE,2,594.5,98,1853,483,340,267,298,98,479,433,585,946,677,1664,420,252,435,417,495,390,549,809,1853
ERBB3,,XM_538226.6,XM_538226.6:2289,Endogenous,mRNA,100,FALSE,2,1205.9,47,3297,1651,1847,1107,418,459,3177,480,1285,2795,305,725,1567,47,314,289,716,540,2305,3297,794
ERBB4,,XM_003434277.4,XM_003434277.4:2195,Endogenous,mRNA,100,FALSE,2,1234.25,137,2768,137,1997,363,978,670,2768,762,1486,1231,998,887,1737,396,777,793,1366,1525,2318,2558,938
ESR1,,NM_001286958.1,NM_001286958.1:1275,Endogenous,mRNA,100,FALSE,2,507.4,57,1758,69,260,142,191,709,551,232,344,199,632,1642,423,79,57,434,547,117,103,1659,1758
ESR2,,XM_861041.4,XM_861041.4:1295,Endogenous,mRNA,100,FALSE,2,327.2,29,1054,1017,61,117,97,29,442,535,91,617,549,954,74,77,35,414,178,84,45,74,1054
ETS1,,XM_546405.5,XM_546405.5:1440,Endogenous,mRNA,100,FALSE,2,864.3,72,1793,1793,1100,1320,389,607,1583,477,373,749,1474,1145,1097,72,326,356,321,425,1725,816,1138
F13A1,,XM_022414421.1,XM_022414421.1:1770,Endogenous,mRNA,100,FALSE,2,139.9,14,590,130,40,106,55,14,262,124,57,155,173,516,36,34,64,154,116,71,63,38,590
FABP7,,XM_533484.6,XM_533484.6:385,Endogenous,mRNA,100,FALSE,2,32988.7,748,90487,5533,53786,69833,13880,23444,90487,27559,29087,22911,27683,748,62285,8732,17078,10007,23736,32176,61906,78080,823
FADD,,XM_005631743.1,XM_005631743.1:2035,Endogenous,mRNA,100,FALSE,2,684.15,250,1536,421,718,770,388,250,808,603,546,561,801,1402,742,274,354,537,715,550,821,886,1536
FAS,,XM_005636650.1,XM_005636650.1:535,Endogenous,mRNA,100,FALSE,2,369.2,116,1639,354,181,270,143,194,315,264,180,347,351,1505,233,201,124,279,219,170,299,116,1639
FASLG,,XM_848916.1,XM_848916.1:495,Endogenous,mRNA,100,FALSE,2,272.15,7,1398,159,32,99,43,7,621,282,52,310,391,1283,25,52,14,326,186,115,32,16,1398
FAT1,,XM_022404178.1,XM_022404178.1:4686,Endogenous,mRNA,100,FALSE,2,1654.25,813,4951,1334,1182,2976,939,1116,1589,1994,1522,2004,1424,1347,1874,1615,813,1334,1225,1064,4951,1244,1538
FBXW11,,XM_861445.4,XM_861445.4:355,Endogenous,mRNA,100,FALSE,2,1083.05,381,1828,434,1392,1189,764,381,1451,598,898,1281,1828,1204,1166,600,870,1425,1132,837,1431,1426,1354
FCAR,,XM_014116440.1,XM_014116440.1:169,Endogenous,mRNA,100,FALSE,2,221.65,21,1153,91,64,94,77,21,326,147,71,214,257,1094,62,59,45,250,152,94,100,62,1153
FCER1A,,NM_001110766.2,NM_001110766.2:619,Endogenous,mRNA,100,FALSE,2,200.85,5,958,63,16,68,39,11,553,255,49,269,242,884,27,57,18,208,138,95,62,5,958
FCER1G,,NM_001003171.2,NM_001003171.2:136,Endogenous,mRNA,100,FALSE,2,1088.75,474,2146,1037,890,2118,1667,973,706,941,1073,867,1178,974,1084,474,840,951,771,955,2146,996,1134
FCER2,,XM_022407108.1,XM_022407108.1:662,Endogenous,mRNA,100,FALSE,2,117.4,4,960,87,14,23,14,4,46,38,6,27,59,880,31,21,16,47,28,18,18,11,960
FCGR1A,,XM_014120558.2,XM_014120558.2:834,Endogenous,mRNA,100,FALSE,2,353.35,62,1089,143,257,401,215,115,470,267,161,638,484,1053,284,62,120,363,191,126,395,233,1089
FCRL2,,XM_849766.5,XM_849766.5:1425,Endogenous,mRNA,100,FALSE,2,198.05,10,1067,62,22,59,43,10,467,201,38,221,187,977,12,115,15,196,131,99,29,10,1067
FGFR1,,XM_014120029.1,XM_014120029.1:1311,Endogenous,mRNA,100,FALSE,2,1054.1,470,1692,470,1105,1060,857,816,1033,1157,1084,1056,1359,766,1192,1350,977,898,1158,762,1692,1383,907
FGFR3,,XM_005618534.2,XM_005618534.2:1211,Endogenous,mRNA,100,FALSE,2,884.6,106,2109,495,737,2109,664,106,201,1156,612,731,1472,1291,721,361,828,993,1500,533,697,1018,1467
FLT3,,NM_001020811.1,NM_001020811.1:1473,Endogenous,mRNA,100,FALSE,2,613.8,141,2218,206,535,741,248,141,1100,283,275,665,856,2027,348,181,232,616,452,243,398,511,2218
FLT3LG,,NM_001003350.1,NM_001003350.1:275,Endogenous,mRNA,100,FALSE,2,285.05,120,955,200,163,198,129,178,366,200,159,258,227,845,224,120,148,215,260,253,223,380,955
FN1,,XM_536059.2,XM_536059.2:4905,Endogenous,mRNA,100,FALSE,2,4035.55,537,12667,3397,6198,9714,3642,4794,2261,1434,4078,12078,5175,1325,2941,537,2386,1302,797,2156,12667,2332,1497
FOS,,XM_547914.5,XM_547914.5:1477,Endogenous,mRNA,100,FALSE,2,2422.65,570,8456,5997,2895,859,2073,710,1319,987,2794,7941,2371,1403,1444,8456,570,1583,1242,871,2713,763,1462
FOXA1,,XM_847261.4,XM_847261.4:2166,Endogenous,mRNA,100,FALSE,2,213.2,4,1347,34,12,40,19,4,269,197,35,239,266,1190,11,113,10,218,127,104,19,10,1347
FOXP3,,NM_001168461.1,NM_001168461.1:629,Endogenous,mRNA,100,FALSE,2,96.6,24,605,37,34,45,24,25,56,88,29,67,71,560,27,29,34,47,31,47,38,38,605
FPR2,,XM_005616212.2,XM_005616212.2:690,Endogenous,mRNA,100,FALSE,2,143.2,23,917,42,25,54,43,23,129,65,44,77,119,874,40,35,45,111,78,44,49,50,917
FYN,,XM_005627719.2,XM_005627719.2:839,Endogenous,mRNA,100,FALSE,2,3088,845,7404,1474,5008,6218,1994,845,7404,1970,2991,1550,3305,1084,3974,2373,1958,2140,2580,3525,5984,4175,1208
GATA3,,XM_844060.1,XM_844060.1:1148,Endogenous,mRNA,100,FALSE,2,307.9,24,1503,110,43,124,61,41,471,398,70,354,379,1315,41,239,44,313,282,253,93,24,1503
GBP5,,XM_547291.4,XM_547291.4:970,Endogenous,mRNA,100,FALSE,2,233.8,5,1503,238,10,67,27,7,231,124,23,246,247,1481,22,28,5,198,113,63,28,15,1503
GFAP,,XM_005624376.3,XM_005624376.3:312,Endogenous,mRNA,100,FALSE,2,27971,1232,66995,12208,19284,66995,41064,9629,5970,33431,35529,16559,56660,1232,22133,17029,60153,25730,36036,15025,27783,55576,1394
GH1,,NM_001003168.1,NM_001003168.1:180,Endogenous,mRNA,100,FALSE,2,126.6,8,1129,45,17,20,29,17,19,12,45,15,31,969,26,8,36,17,27,17,30,23,1129
GPI,,XM_848765.5,XM_848765.5:626,Endogenous,mRNA,100,FALSE,2,7014.6,1429,12282,11422,7868,9524,6927,3787,6477,5741,4718,3403,12282,1429,5579,3104,7886,8218,10460,7624,12140,10214,1489
GSK3A,,XM_014116630.2,XM_014116630.2:443,Endogenous,mRNA,100,FALSE,2,2649.9,806,4664,1455,3527,4444,3540,1139,2452,1235,1994,1696,4566,2046,2651,806,2464,4664,3628,1495,2988,4029,2179
GSK3B,,XM_535751.2,XM_535751.2:900,Endogenous,mRNA,100,FALSE,2,1657.6,813,2907,918,2069,2496,1308,870,2173,999,1812,1033,1863,1146,2136,813,978,2036,2065,1659,2907,2663,1208
GZMA,,XM_544335.2,XM_544335.2:140,Endogenous,mRNA,100,FALSE,2,199.65,16,1638,102,36,36,22,16,85,35,33,67,58,1638,30,17,26,32,34,32,29,28,1637
GZMB,,XM_547752.2,XM_547752.2:495,Endogenous,mRNA,100,FALSE,2,230.45,12,1215,295,25,125,37,12,361,196,38,265,305,1107,46,58,14,183,168,91,50,18,1215
GZMH,,XM_014115811.2,XM_014115811.2:313,Endogenous,mRNA,100,FALSE,2,260.7,4,1668,102,19,70,27,4,330,186,41,264,291,1667,19,37,8,212,158,70,32,9,1668
GZMK,,XM_546318.2,XM_546318.2:195,Endogenous,mRNA,100,FALSE,2,216.2,12,1392,362,19,75,49,16,194,103,25,220,197,1339,25,20,12,130,68,36,23,19,1392
HAMP,,NM_001007140.1,NM_001007140.1:163,Endogenous,mRNA,100,FALSE,2,160.85,8,1040,43,26,63,25,8,217,73,30,93,109,940,25,79,42,132,114,94,41,23,1040
HAVCR2,,NM_001254715.1,NM_001254715.1:321,Endogenous,mRNA,100,FALSE,2,281.25,34,1660,110,79,139,74,35,307,133,55,337,338,1589,74,34,57,199,158,51,83,113,1660
HBEGF,,XM_005617277.3,XM_005617277.3:1240,Endogenous,mRNA,100,FALSE,2,614.3,186,1642,717,460,585,294,211,1056,561,464,828,690,1453,299,336,186,566,553,398,518,469,1642
HCK,,XM_022409133.1,XM_022409133.1:1685,Endogenous,mRNA,100,FALSE,2,411.25,62,1925,251,108,187,140,62,540,271,165,463,535,1757,216,73,152,375,313,210,202,280,1925
HCST,,XM_850362.1,XM_850362.1:109,Endogenous,mRNA,100,FALSE,2,101.6,9,620,27,18,46,18,9,126,56,28,61,92,603,19,39,16,88,70,46,19,31,620
HDC,,XM_544676.5,XM_544676.5:650,Endogenous,mRNA,100,FALSE,2,283,9,1780,56,18,64,20,9,413,229,48,206,307,1765,35,69,25,265,161,86,74,30,1780
HIF1A,,NM_001287163.1,NM_001287163.1:2020,Endogenous,mRNA,100,FALSE,2,1936.2,625,3773,1603,2358,2991,1649,625,1864,1473,1723,2724,3773,1183,2805,1419,1390,1756,1587,1657,2412,2417,1315
HLA-DRB1,,NM_001014768.1,NM_001014768.1:414,Endogenous,mRNA,100,FALSE,2,1995.8,739,5590,3888,1676,4876,2027,1218,2311,2023,1251,1628,1669,1462,2127,739,1035,1154,836,1363,5590,1376,1667
HMGB1,,NM_001002937.2,NM_001002937.2:202,Endogenous,mRNA,100,FALSE,2,5612.5,1255,12304,3505,6713,8136,3333,2400,12304,3758,3107,8803,11718,1942,6067,1255,2998,7209,4276,3416,10957,8254,2099
HMGCR,,XM_536323.6,XM_536323.6:2005,Endogenous,mRNA,100,FALSE,2,1902.5,385,3784,1158,2396,2614,2176,385,1085,1695,1593,2659,3784,1674,1706,1018,1972,2782,2210,801,1710,2854,1778
HNF1A,,XM_014107971.2,XM_014107971.2:670,Endogenous,mRNA,100,FALSE,2,255.2,16,1210,58,50,83,32,16,378,256,55,416,380,1208,24,92,49,337,218,130,36,76,1210
HRAS,,XM_540523.4,XM_540523.4:370,Endogenous,mRNA,100,FALSE,2,786.2,355,1296,555,951,825,1030,355,673,842,670,647,1166,717,472,494,914,1296,1167,756,597,778,819
HSD11B1,,NM_001005756.1,NM_001005756.1:372,Endogenous,mRNA,100,FALSE,2,576.55,153,1419,322,771,478,218,336,830,528,153,698,653,1298,443,299,551,712,722,297,317,486,1419
ICAM1,,NM_001003291.1,NM_001003291.1:1408,Endogenous,mRNA,100,FALSE,2,504.85,135,2360,756,221,279,187,167,384,211,249,385,359,2105,388,201,163,218,185,135,784,360,2360
ICAM2,,XM_005624303.1,XM_005624303.1:399,Endogenous,mRNA,100,FALSE,2,455.7,84,1649,481,298,378,177,240,529,403,152,422,680,1558,186,84,148,394,308,271,513,243,1649
ICAM3,,XM_003432853.4,XM_003432853.4:705,Endogenous,mRNA,100,FALSE,2,322,110,969,394,110,237,257,141,534,331,140,249,373,863,182,178,162,279,266,280,321,174,969
ICAM4,,XM_848909.4,XM_848909.4:569,Endogenous,mRNA,100,FALSE,2,326.1,16,1411,142,87,102,122,16,489,260,167,435,430,1290,39,330,107,394,282,198,138,83,1411
ICOS,,NM_001002972.2,NM_001002972.2:518,Endogenous,mRNA,100,FALSE,2,270.85,8,1586,345,24,104,50,8,339,172,37,336,424,1397,22,28,19,279,142,52,31,22,1586
ICOSLG,,XM_014109855.2,XM_014109855.2:505,Endogenous,mRNA,100,FALSE,2,364.25,93,1435,313,254,318,163,173,470,286,146,479,291,1435,131,93,113,304,301,169,247,217,1382
IDH1,,XM_014111093.2,XM_014111093.2:725,Endogenous,mRNA,100,FALSE,2,849.15,174,1633,1600,749,662,757,332,1633,432,970,693,658,1373,876,174,471,617,645,552,914,1333,1542
IDH2,,XM_014112432.1,XM_014112432.1:1018,Endogenous,mRNA,100,FALSE,2,926.25,332,1990,1002,1153,1990,677,641,778,1026,851,940,1025,849,1078,332,965,487,698,812,1307,996,918
IDO1,,XM_532793.2,XM_532793.2:390,Endogenous,mRNA,100,FALSE,2,217.3,12,1618,677,32,76,19,15,20,12,26,32,42,1532,30,21,35,31,19,19,62,28,1618
IDO2,,XM_022404003.1,XM_022404003.1:375,Endogenous,mRNA,100,FALSE,2,213,22,1202,59,30,80,40,22,402,195,45,269,224,1051,27,77,29,201,121,86,59,41,1202
IFGGC1,,NM_001313803.1,NM_001313803.1:1300,Endogenous,mRNA,100,FALSE,2,486.85,70,1440,1200,119,394,173,70,585,189,201,538,1174,1274,440,104,205,327,200,523,436,145,1440
IFI35,,XM_548077.6,XM_548077.6:464,Endogenous,mRNA,100,FALSE,2,262.2,82,547,249,138,433,126,143,277,264,315,248,291,547,410,82,150,150,175,162,340,197,547
IFIH1,,XM_545493.4,XM_545493.4:2192,Endogenous,mRNA,100,FALSE,2,411.55,85,1394,361,179,381,249,109,549,250,317,515,591,1244,317,85,224,433,273,326,247,187,1394
IFIT2,,XM_005618758.3,XM_005618758.3:1245,Endogenous,mRNA,100,FALSE,2,339.35,79,1308,153,83,196,125,79,616,298,150,553,570,1174,194,84,90,396,231,234,173,80,1308
IFNA7,,NM_001006654.1,NM_001006654.1:140,Endogenous,mRNA,100,FALSE,2,2681.2,31,9255,2367,178,2137,1031,31,9255,1954,678,9127,7216,624,172,2039,45,8070,4601,3014,381,43,661
IFNAR1,,XM_003640073.4,XM_003640073.4:1351,Endogenous,mRNA,100,FALSE,2,2916.15,697,6487,697,4486,3823,2246,1894,3681,2477,3675,2954,3423,1039,4914,736,2590,2457,2458,1764,5429,6487,1093
IFNAR2,,XM_014109800.2,XM_014109800.2:1887,Endogenous,mRNA,100,FALSE,2,504.2,114,1319,151,330,365,310,114,568,365,352,667,758,1224,336,349,298,529,772,349,391,537,1319
IFNB1,,NM_001135787.1,NM_001135787.1:148,Endogenous,mRNA,100,FALSE,2,360.5,5,2259,127,26,149,59,5,466,83,49,571,529,2109,8,49,9,396,205,74,28,9,2259
IFNG,,NM_001003174.1,NM_001003174.1:430,Endogenous,mRNA,100,FALSE,2,173.35,3,1691,22,15,9,5,15,15,4,3,4,7,1510,11,7,11,9,12,7,11,99,1691
IFNGR1,,XM_003638758.2,XM_003638758.2:1290,Endogenous,mRNA,100,FALSE,2,2092.95,1043,3890,1094,2163,2876,2338,1258,2543,2217,2025,1546,2482,1778,2303,1043,1393,2275,2112,1890,3890,2714,1919
IGF1R,,XM_014112396.1,XM_014112396.1:2717,Endogenous,mRNA,100,FALSE,2,1798.3,548,2905,988,1842,2735,1139,548,2754,1623,1572,2604,2822,1257,2905,624,1082,1507,1913,1220,2495,2887,1449
IGF2R,,NM_001122602.1,NM_001122602.1:2872,Endogenous,mRNA,100,FALSE,2,1021.65,408,1969,1398,1006,935,919,482,1004,408,783,434,1575,1744,893,568,1027,1322,1346,566,987,1067,1969
IGHG,,IGHG1_01.1,IGHG1_01.1:146,Endogenous,mRNA,100,FALSE,2,1908.55,56,13979,12077,104,273,13979,1928,727,466,366,551,547,935,56,642,1542,474,535,303,314,1321,1031
IGHM,,IGHM_01.1,IGHM_01.1:111,Endogenous,mRNA,100,FALSE,2,481.75,70,2234,1499,70,383,217,70,299,151,71,289,255,1462,70,77,2234,216,218,125,75,224,1630
IKBKB,,XM_539954.6,XM_539954.6:880,Endogenous,mRNA,100,FALSE,2,935.95,284,1902,565,765,1291,518,757,1445,1099,577,1021,1024,1761,985,284,455,752,697,583,1110,1128,1902
IKBKE,,XM_014111236.1,XM_014111236.1:1215,Endogenous,mRNA,100,FALSE,2,1998.5,871,3897,1377,2810,2082,871,2515,2449,2221,1001,1261,1815,1477,3525,1122,987,1254,1735,2462,3582,3897,1527
IKBKG,,XM_003640238.4,XM_003640238.4:2336,Endogenous,mRNA,100,FALSE,2,545.3,180,1671,289,292,563,323,180,419,617,347,372,596,1439,422,533,317,452,689,508,432,445,1671
IL10,,XM_850467.1,XM_850467.1:374,Endogenous,mRNA,100,FALSE,2,219.6,36,836,154,103,193,101,175,232,265,145,124,168,783,130,36,113,159,112,208,231,124,836
IL10RA,,XM_005620306.1,XM_005620306.1:690,Endogenous,mRNA,100,FALSE,2,482.6,160,1602,804,370,485,335,251,502,289,201,472,527,1463,313,160,175,462,277,266,497,201,1602
IL11,,XM_022427532.1,XM_022427532.1:1830,Endogenous,mRNA,100,FALSE,2,186.95,2,1379,38,2,30,23,3,263,93,22,120,114,1238,10,74,4,122,101,67,25,11,1379
IL11RA,,XM_005626742.3,XM_005626742.3:481,Endogenous,mRNA,100,FALSE,2,587.65,77,1778,326,370,858,200,77,709,383,389,717,848,1651,404,341,329,587,569,290,393,534,1778
IL12A,,NM_001003293.2,NM_001003293.2:345,Endogenous,mRNA,100,FALSE,2,358.15,50,965,74,244,179,163,113,578,336,345,482,530,879,297,50,191,490,273,175,219,580,965
IL12B,,NM_001003292.1,NM_001003292.1:630,Endogenous,mRNA,100,FALSE,2,221.1,6,1779,19,37,171,7,79,129,18,14,33,41,1600,56,6,13,12,20,131,220,37,1779
IL12RB1,,XM_005632710.1,XM_005632710.1:1170,Endogenous,mRNA,100,FALSE,2,240.65,14,1454,138,27,82,42,14,414,175,46,179,258,1256,30,75,25,206,151,140,68,33,1454
IL12RB2,,NM_001025399.1,NM_001025399.1:1880,Endogenous,mRNA,100,FALSE,2,124.85,8,1053,20,34,23,33,8,13,36,16,15,40,1012,13,13,25,53,38,16,14,22,1053
IL13,,NM_001003384.1,NM_001003384.1:326,Endogenous,mRNA,100,FALSE,2,250.35,8,1377,94,25,136,60,8,363,222,54,382,328,1259,19,61,22,275,173,90,46,13,1377
IL13RA1,,XM_538150.6,XM_538150.6:1141,Endogenous,mRNA,100,FALSE,2,464.8,134,1307,298,349,455,580,141,134,294,346,417,528,1244,346,177,273,557,354,245,743,508,1307
IL13RA2,,NM_001003075.1,NM_001003075.1:560,Endogenous,mRNA,100,FALSE,2,278.35,23,1709,68,101,212,29,88,295,94,56,173,151,1568,269,23,44,113,89,55,157,273,1709
IL15,,XM_844053.1,XM_844053.1:455,Endogenous,mRNA,100,FALSE,2,414.15,74,1753,207,140,250,100,74,783,444,152,633,557,1620,136,113,91,427,265,203,142,193,1753
IL15RA,,XM_022414662.1,XM_022414662.1:655,Endogenous,mRNA,100,FALSE,2,154.8,28,1060,91,49,58,78,40,28,37,47,47,106,1009,62,39,59,60,83,40,50,53,1060
IL16,,XM_545880.4,XM_545880.4:1650,Endogenous,mRNA,100,FALSE,2,459.45,37,2042,87,93,226,57,37,639,421,77,596,401,1906,192,1326,47,368,245,184,100,145,2042
IL17A,,NM_001165878.1,NM_001165878.1:116,Endogenous,mRNA,100,FALSE,2,262.55,22,1710,56,22,109,40,25,313,160,50,203,341,1570,28,47,33,246,136,79,59,24,1710
IL17B,,XM_022417823.1,XM_022417823.1:460,Endogenous,mRNA,100,FALSE,2,181.45,10,1318,55,23,52,33,10,234,84,27,123,131,1126,48,36,24,99,70,76,36,24,1318
IL17F,,XM_538959.1,XM_538959.1:120,Endogenous,mRNA,100,FALSE,2,294.2,10,1896,58,17,104,36,10,463,233,39,224,358,1748,23,51,26,282,173,88,39,16,1896
IL17RA,,XM_543886.2,XM_543886.2:215,Endogenous,mRNA,100,FALSE,2,750.85,308,1739,1039,578,858,384,308,632,696,573,920,924,1690,735,334,423,697,723,447,788,529,1739
IL17RB,,XM_022406601.1,XM_022406601.1:385,Endogenous,mRNA,100,FALSE,2,560.8,89,1593,127,401,230,620,89,126,504,618,148,479,1449,609,526,675,571,342,458,222,1429,1593
IL18,,NM_001003169.1,NM_001003169.1:248,Endogenous,mRNA,100,FALSE,2,489.65,86,1765,316,271,657,223,119,700,380,224,435,641,1631,369,86,144,523,328,221,452,308,1765
IL18R1,,XM_005625993.3,XM_005625993.3:810,Endogenous,mRNA,100,FALSE,2,208.1,4,1001,56,27,87,51,4,339,222,75,308,228,868,287,38,45,224,133,70,71,28,1001
IL18RAP,,XM_538448.2,XM_538448.2:1835,Endogenous,mRNA,100,FALSE,2,303.55,4,1872,82,20,80,33,4,490,273,55,397,349,1685,22,77,11,316,161,98,27,19,1872
IL19,,XM_547384.3,XM_547384.3:200,Endogenous,mRNA,100,FALSE,2,194.45,4,1939,5,9,15,5,4,40,15,7,20,38,1700,13,5,5,20,15,12,14,8,1939
IL1A,,NM_001003157.2,NM_001003157.2:175,Endogenous,mRNA,100,FALSE,2,207.35,24,1325,44,35,75,38,31,289,122,29,245,206,1157,24,42,33,164,86,71,96,35,1325
IL1B,,NM_001037971.1,NM_001037971.1:455,Endogenous,mRNA,85,FALSE,2,232.25,1,1337,108,33,53,27,1,377,167,1,390,269,1208,10,133,118,179,155,61,17,1,1337
IL1R1,,XM_005625999.3,XM_005625999.3:640,Endogenous,mRNA,100,FALSE,2,925.65,323,1823,654,700,518,845,374,1206,676,1192,1053,1059,1144,1823,323,950,1169,671,631,1234,924,1367
IL1R2,,XM_538451.6,XM_538451.6:786,Endogenous,mRNA,100,FALSE,2,214.85,16,1245,64,31,69,46,16,305,161,46,356,234,1135,30,42,57,221,100,63,35,41,1245
IL1RAP,,XM_014110431.1,XM_014110431.1:660,Endogenous,mRNA,100,FALSE,2,1917.6,411,3985,742,3254,511,427,1640,2995,3308,3603,1951,751,1418,2735,411,653,712,1896,2049,3985,3782,1529
IL1RL1,,XM_005625995.3,XM_005625995.3:788,Endogenous,mRNA,100,FALSE,2,198.55,6,1660,29,35,39,15,6,78,48,18,53,97,1422,94,15,36,64,32,25,186,19,1660
IL1RL2,,XM_849121.3,XM_849121.3:1210,Endogenous,mRNA,100,FALSE,2,312.95,11,1764,79,59,120,55,11,572,241,58,448,447,1584,50,19,61,335,174,60,41,81,1764
IL1RN,,NM_001003096.1,NM_001003096.1:121,Endogenous,mRNA,100,FALSE,2,273.15,65,1123,142,155,254,148,65,225,137,153,207,159,1087,288,150,140,325,91,86,362,166,1123
IL2,,NM_001003305.1,NM_001003305.1:70,Endogenous,mRNA,100,FALSE,2,401.6,107,1386,333,267,308,226,119,490,308,225,539,552,1245,278,107,170,357,291,200,365,266,1386
IL21,,NM_001003347.1,NM_001003347.1:277,Endogenous,mRNA,100,FALSE,2,287.4,14,1933,72,33,87,37,14,334,156,37,354,285,1801,23,19,31,251,151,57,53,20,1933
IL21R,,XM_844902.4,XM_844902.4:303,Endogenous,mRNA,100,FALSE,2,272.45,89,1495,326,112,158,162,97,147,131,104,151,164,1418,110,104,89,133,113,143,191,101,1495
IL22,,XM_538274.1,XM_538274.1:145,Endogenous,mRNA,100,FALSE,2,174.75,2,1726,5,8,18,2,2,12,7,8,11,15,1604,10,5,15,8,5,8,18,8,1726
IL22RA1,,XM_850020.4,XM_850020.4:803,Endogenous,mRNA,100,FALSE,2,163.95,6,917,40,14,44,32,6,248,138,42,186,158,916,10,93,9,157,137,99,26,7,917
IL22RA2,,XM_014112310.2,XM_014112310.2:408,Endogenous,mRNA,100,FALSE,2,144.5,5,983,31,15,35,36,5,182,68,25,99,148,926,15,35,5,130,69,54,11,18,983
IL23A,,XM_538231.2,XM_538231.2:726,Endogenous,mRNA,100,FALSE,2,287.5,24,1672,63,44,147,38,24,471,267,64,337,266,1501,45,65,24,265,201,116,93,47,1672
IL23R,,XM_847058.1,XM_847058.1:1680,Endogenous,mRNA,100,FALSE,2,294.15,7,1927,73,17,77,35,8,434,196,33,278,429,1749,16,31,7,294,148,83,36,12,1927
IL24,,XM_846427.3,XM_846427.3:342,Endogenous,mRNA,100,FALSE,2,267.65,6,1786,49,25,62,30,6,431,235,36,247,221,1642,24,30,31,205,130,91,45,27,1786
IL25,,XM_005623236.3,XM_005623236.3:1065,Endogenous,mRNA,100,FALSE,2,242,21,1531,44,34,113,31,28,292,171,42,283,242,1442,72,42,21,147,152,62,48,43,1531
IL26,,XM_846075.2,XM_846075.2:365,Endogenous,mRNA,100,FALSE,2,175.15,7,1543,14,11,27,7,9,86,31,12,54,116,1420,14,7,9,55,25,15,15,33,1543
IL27,,XM_844736.5,XM_844736.5:518,Endogenous,mRNA,100,FALSE,2,311.45,15,1741,74,22,111,46,16,492,339,57,413,397,1585,29,130,20,357,190,139,56,15,1741
IL29L,,NM_001114853.1,NM_001114853.1:8,Endogenous,mRNA,100,FALSE,2,178.95,7,802,62,30,63,33,7,351,207,52,256,275,714,19,99,27,237,142,123,49,31,802
IL2RA,,NM_001003211.2,NM_001003211.2:164,Endogenous,mRNA,100,FALSE,2,319.7,9,1863,177,28,133,64,24,431,188,49,537,383,1707,45,61,18,305,201,72,99,9,1863
IL2RB,,XM_847855.1,XM_847855.1:880,Endogenous,mRNA,100,FALSE,2,123.25,9,1031,214,18,21,9,21,19,19,12,17,22,899,20,12,30,15,9,18,34,25,1031
IL2RG,,NM_001003201.1,NM_001003201.1:534,Endogenous,mRNA,100,FALSE,2,165.7,20,992,556,41,52,85,27,39,65,39,37,39,951,79,34,49,20,35,44,71,59,992
